name,kCal,carbs,sugar,cookTime,img
Turkey and corn chowder, 302, 31.9g, 10.4g,30,https://diabetes-resources-production.s3.eu-west-1.amazonaws.com/resources-s3/public/styles/recipie_listing/public/2021-02/200713_DiabetesUK_TurkeyCornChowder_02%20resize.jpg?VersionId=jXpPV_txennIDzdbg2qpQiBEJj0lLLb2&itok=sIima6eE
"Mint, pea and crème fraiche soup", 192, 24.6g, 13.6g,,https://diabetes-resources-production.s3.eu-west-1.amazonaws.com/resources-s3/public/styles/recipie_listing/public/2020-11/Mint%2C%20pea%20and%20cre%CC%80me%20fraiche%20soup-1000x600%20%281%29.jpg?VersionId=ShrAVLuWfL6IK6wP4VPm7oZq4qxeRdZL&itok=vqqk0zOM
Roast squash and crunchy chickpea chicken salad, 362, 33.2g, 13.5g,40,https://diabetes-resources-production.s3.eu-west-1.amazonaws.com/resources-s3/public/styles/recipie_listing/public/2020-10/Chicken%20squash%20salad%201000x600%20%281%29_0.jpg?VersionId=ZC.R2hmNhJ_Fye8RfadGjyNSAwi8sGQN&itok=oAsw_ivn
"Chicken, borlotti bean & vegetable soup with pistou", 212, 13.0g, 4.6g,70,https://diabetes-resources-production.s3.eu-west-1.amazonaws.com/resources-s3/public/styles/recipie_listing/public/2020-08/Chicken%20borlotti%20bean%20soup.jpg?VersionId=C6vMxaULdOsVkRWzouvjTyEAzFZjiSet&itok=pzjKKYZI
Mackerel rundown, 302, 21.2g, 9.1g,50,https://diabetes-resources-production.s3.eu-west-1.amazonaws.com/resources-s3/public/styles/recipie_listing/public/2022-11/Mackerel%20rundown.jpg?VersionId=Edb34ke5ifZv9g90Lv9d_NXZ6ckcDIIf&itok=DKFY_AxL
Italian Trout Courgetti, 526, 40.58g, 17.41g,20,https://diabetes-resources-production.s3.eu-west-1.amazonaws.com/resources-s3/public/styles/recipie_listing/public/2022-10/courgetti.jpeg?VersionId=f.V4WFDqWdUrhbhsSGBfqVScWWoSK8A0&itok=Nu2zOxQS
Braised Chicken with Kale, 542, 50.34g, 7.38g,35,https://diabetes-resources-production.s3.eu-west-1.amazonaws.com/resources-s3/public/styles/recipie_listing/public/2022-10/chicken.jpeg?VersionId=sYw_DVpuT5SgseRawk6n0uMmhUVmZwqU&itok=fwy02bYx
Spiced steamed hake with tikka tomato sauce, 455, 42.69g, 9.57g,35,https://diabetes-resources-production.s3.eu-west-1.amazonaws.com/resources-s3/public/styles/recipie_listing/public/2022-09/Spiced%20steamed%20hake%20with%20tikka%20tomato%20sauce.jpeg?VersionId=6PZlrSWU8HV8YNFtZ57e.g2bLKeLP3cV&itok=eN1lUeIE
"Black bean spaghetti, roasted aubergine and peppers", 453, 31.9g, 21.92g,20,https://diabetes-resources-production.s3.eu-west-1.amazonaws.com/resources-s3/public/styles/recipie_listing/public/2022-09/Black%20bean%20spaghetti%20%28002%29.jpeg?VersionId=48DWohi2nLH4VqNSfw8Ub9TGVBREOUyx&itok=HrZVZ4Mk
Baked cauliflower with black beans and coconut, 251, 32.5g, 5.6g,55,https://diabetes-resources-production.s3.eu-west-1.amazonaws.com/resources-s3/public/styles/recipie_listing/public/2022-09/Roasted%20cauliflower.png?VersionId=LzSEFVqqK2107qU1.rCmJAty6FdQPH_c&itok=yAqJ1AZE
Plantain chips, 200, 26.5g, 8.0g,30,https://diabetes-resources-production.s3.eu-west-1.amazonaws.com/resources-s3/public/styles/recipie_listing/public/2022-09/Plaintain%20Chips.png?VersionId=uHLRI7o18objerrhS7scMfdnECoyt7r_&itok=7iUSHtLX
